x,y
0.101435,0.900238
0.0584977,0.891326
0.254419,0.873734
0.177883,0.882153
0.213192,0.849863
0.29024,0.851468
0.862873,0.311232
0.874969,0.244976
0.843834,0.274689
0.902143,0.100692
0.888357,0.172472
0.869422,0.13139
-0.553545,-0.723747
-0.570307,-0.691034
-0.490353,-0.760663
-0.506978,-0.722154
-0.434825,-0.800899
-0.446389,-0.760965
-0.391752,-0.839497
-0.399624,-0.80392
0.00589055,0.929797
-0.0518728,0.924849
-0.0218494,0.905382
0.927101,-0.0228697
0.916333,0.0381941
0.901597,0.00524402
-0.349066,0.861628
-0.315459,0.87172
-0.399421,0.830306
-0.361429,0.828216
-0.455972,0.797077
-0.417549,0.794971
-0.517537,0.758575
-0.476938,0.758445
-0.577316,0.725668
-0.538502,0.725344
-0.620981,0.681476
-0.587497,0.6884
0.870539,-0.313812
0.860101,-0.347206
-0.667603,0.638394
-0.628879,0.644098
-0.704127,0.575528
-0.668969,0.592619
0.829177,-0.399521
0.808698,-0.430556
0.757624,-0.486608
0.714417,-0.552014
0.714768,-0.500955
0.87455,-0.245493
0.848784,-0.280839
0.889356,-0.170179
0.856142,-0.205937
0.912383,-0.0917824
0.876374,-0.128685
0.900949,-0.0562635
0.677333,-0.613016
0.649112,-0.666498
0.642204,-0.629989
-0.846038,0.384576
-0.79545,0.434205
-0.807266,0.387451
-0.745355,0.501452
-0.702192,0.521128
0.623156,-0.689009
0.557239,-0.715895
0.58184,-0.68188
0.486466,-0.753631
0.436996,-0.809804
0.441186,-0.763562
-0.864608,0.357773
-0.870956,0.325557
0.406197,-0.829568
0.346927,-0.850814
0.367207,-0.816391
-0.925879,0.0580294
-0.917554,0.0948952
-0.872847,0.252891
-0.889109,0.172143
-0.85372,0.208692
-0.84628,0.293387
0.312545,-0.860176
0.239808,-0.86722
0.276542,-0.835988
0.0921643,-0.902281
0.164158,-0.882059
0.119783,-0.866789
-0.241365,0.8625
-0.155674,0.877455
-0.190216,0.836321
-0.0876758,0.916607
-0.934595,-0.00273401
-0.930502,-0.0343673
-0.907745,0.0276799
0.0315901,-0.926431
-0.00079315,-0.930255
-0.865068,-0.348012
-0.873754,-0.314074
-0.838996,-0.396542
-0.837355,-0.359094
-0.0587402,-0.931765
-0.0947898,-0.923929
-0.163231,-0.886215
-0.242602,-0.872812
-0.197148,-0.85127
-0.863874,-0.24488
-0.879083,-0.16761
-0.840442,-0.202576
-0.903271,-0.0928985
-0.896509,-0.0518523
-0.346545,-0.865885
-0.31321,-0.874881
-0.35529,-0.838534
-0.693061,-0.601061
-0.717068,-0.568366
-0.798264,-0.442471
-0.75377,-0.499559
-0.75397,-0.455841
-0.801748,-0.407091
-0.656716,-0.602671
0.661121,0.616805
0.448157,0.729701
0.418824,0.766289
0.695336,0.532927
0.79967,0.408381
0.836401,0.340365
0.132618,0.863587
0.885292,0.0650325
0.856019,0.204063
0.822697,-0.361511
0.765265,-0.435233
0.674411,-0.56825
-0.750112,0.447922
0.505108,-0.711542
-0.879596,0.122049
0.0497222,-0.892772
0.196908,-0.847766
-0.279654,0.840192
-0.10621,0.872258
-0.0309823,-0.909612
-0.117258,-0.882887
-0.278411,-0.850365
-0.842873,-0.280832
-0.865219,-0.121867
-0.709815,-0.523255
0.119364,0.810473
0.0328347,0.844354
0.062518,0.800152
0.592787,0.629424
0.514587,0.648527
0.549111,0.614513
